[2025-06-25 18:30:33.320097] putusan_1006_pid.b_2024_pn_mdn_20250625174208.pdf → case_001.txt | Status: OK | Words: 3978
[2025-06-25 18:31:06.965500] putusan_2334_pid.b_2023_pn_mdn_20250625175643.pdf → case_047.txt | Status: OK | Words: 3684
[2025-06-25 18:31:07.857279] putusan_2343_pid.b_2023_pn_mdn_20250625175747.pdf → case_048.txt | Status: OK | Words: 5862
[2025-06-25 18:31:08.756227] putusan_2350_pid.b_2023_pn_mdn_20250625175612.pdf → case_049.txt | Status: OK | Words: 6047
[2025-06-25 18:31:09.438929] putusan_2402_pid.b_2023_pn_mdn_20250625175346.pdf → case_050.txt | Status: OK | Words: 4528
[2025-06-25 18:31:10.169530] putusan_2456_pid.b_2023_pn_mdn_20250625175412.pdf → case_051.txt | Status: OK | Words: 5421
[2025-06-25 18:31:10.915482] putusan_2496_pid.b_2023_pn_mdn_20250625175424.pdf → case_052.txt | Status: OK | Words: 4695
[2025-06-25 18:31:11.732234] putusan_2512_pid.b_2023_pn_mdn_20250625175400.pdf → case_053.txt | Status: OK | Words: 4533
[2025-06-25 18:31:12.946627] putusan_2522_pid.b_2023_pn_mdn_20250625175334.pdf → case_054.txt | Status: OK | Words: 4443
[2025-06-25 18:31:13.873045] putusan_255_pid.b_2024_pn_mdn_20250625173712.pdf → case_055.txt | Status: OK | Words: 6059
[2025-06-25 18:31:14.460006] putusan_2587_pid.b_2023_pn_mdn_20250625174953.pdf → case_056.txt | Status: OK | Words: 3680
[2025-06-25 18:31:14.836667] putusan_2595_pid.b_2023_pn_mdn_20250625175448.pdf → case_057.txt | Status: OK | Words: 2586
[2025-06-25 18:31:15.256312] putusan_2652_pid.b_2023_pn_mdn_20250625175321.pdf → case_058.txt | Status: OK | Words: 2812
[2025-06-25 18:31:15.805610] putusan_275_pid.b_2024_pn_mdn_20250625174721.pdf → case_059.txt | Status: OK | Words: 3532
[2025-06-25 18:31:16.771474] putusan_30_pid.b_2024_pn_mdn_20250625175243.pdf → case_060.txt | Status: OK | Words: 6646
[2025-06-25 18:31:17.545408] putusan_336_pid.b_2024_pn_mdn_20250625174113.pdf → case_061.txt | Status: OK | Words: 5117
[2025-06-25 18:31:18.905611] putusan_337_pid.b_2024_pn_mdn_20250625175010.pdf → case_062.txt | Status: OK | Words: 9583
[2025-06-25 18:31:20.264945] putusan_338_pid.b_2024_pn_mdn_20250625173625.pdf → case_063.txt | Status: OK | Words: 9561
[2025-06-25 18:31:20.797126] putusan_367_pid.b_2024_pn_mdn_20250625174205.pdf → case_064.txt | Status: OK | Words: 3295
[2025-06-25 18:31:21.479501] putusan_37_pid.b_2024_pn_mdn_20250625175227.pdf → case_065.txt | Status: OK | Words: 4451
[2025-06-25 18:31:21.949452] putusan_383_pid.b_2024_pn_mdn_20250625173850.pdf → case_066.txt | Status: OK | Words: 3123
[2025-06-25 18:31:22.472129] putusan_392_pid.b_2024_pn_mdn_20250625174841.pdf → case_067.txt | Status: OK | Words: 3113
[2025-06-25 18:31:25.387652] putusan_41_pid.b_2025_pn_rta_20250625175104.pdf → case_068.txt | Status: OK | Words: 22152
[2025-06-25 18:31:28.633514] putusan_41_pid.b_2025_pn_rta_20250625175140.pdf → case_069.txt | Status: OK | Words: 22152
[2025-06-25 18:31:31.578870] putusan_41_pid.b_2025_pn_rta_20250625175148.pdf → case_070.txt | Status: OK | Words: 22152
[2025-06-25 18:31:32.710222] putusan_446_pid.b_2024_pn_mdn_20250625174333.pdf → case_071.txt | Status: OK | Words: 7010
[2025-06-25 18:31:33.836608] putusan_447_pid.b_2024_pn_mdn_20250625174527.pdf → case_072.txt | Status: OK | Words: 7264
[2025-06-25 18:31:34.151743] putusan_46_pid.b_2024_pn_mdn_20250625175028.pdf → case_073.txt | Status: OK | Words: 2058
[2025-06-25 18:31:34.817998] putusan_509_pid.b_2024_pn_mdn_20250625174928.pdf → case_074.txt | Status: OK | Words: 4322
[2025-06-25 18:31:35.271842] putusan_530_pid.b_2024_pn_mdn_20250625173800.pdf → case_075.txt | Status: OK | Words: 2993
[2025-06-25 18:31:35.842882] putusan_532_pid.b_2024_pn_mdn_20250625174704.pdf → case_076.txt | Status: OK | Words: 3626
[2025-06-25 18:31:36.476913] putusan_534_pid.b_2024_pn_mdn_20250625174157.pdf → case_077.txt | Status: OK | Words: 3961
[2025-06-25 18:31:37.230273] putusan_539_pid.b_2024_pn_mdn_20250625174609.pdf → case_078.txt | Status: OK | Words: 5360
[2025-06-25 18:31:37.829843] putusan_542_pid.b_2024_pn_mdn_20250625174753.pdf → case_079.txt | Status: OK | Words: 4039
[2025-06-25 18:31:38.472957] putusan_558_pid.b_2024_pn_mdn_20250625174247.pdf → case_080.txt | Status: OK | Words: 4466
[2025-06-25 18:31:39.024540] putusan_56_pid.b_2024_pn_mdn_20250625174809.pdf → case_081.txt | Status: OK | Words: 3379
[2025-06-25 18:31:39.841179] putusan_570_pid.b_2024_pn_mdn_20250625173831.pdf → case_082.txt | Status: OK | Words: 5899
[2025-06-25 18:31:40.364271] putusan_586_pid.b_2024_pn_mdn_20250625174013.pdf → case_083.txt | Status: OK | Words: 2994
[2025-06-25 18:31:40.818417] putusan_587_pid.b_2024_pn_mdn_20250625174428.pdf → case_084.txt | Status: OK | Words: 3076
[2025-06-25 18:31:42.031412] putusan_58_pid.b_2024_pn_mdn_20250625174025.pdf → case_085.txt | Status: OK | Words: 7799
[2025-06-25 18:31:43.446283] putusan_599_pid.b_2024_pn_mdn_20250625173919.pdf → case_086.txt | Status: OK | Words: 6249
[2025-06-25 18:31:44.453799] putusan_59_pid.b_2024_pn_mdn_20250625173937.pdf → case_087.txt | Status: OK | Words: 6786
[2025-06-25 18:31:45.053511] putusan_60_pid.b_2024_pn_mdn_20250625175110.pdf → case_088.txt | Status: OK | Words: 3489
[2025-06-25 18:31:45.639919] putusan_612_pid.b_2024_pn_mdn_20250625174101.pdf → case_089.txt | Status: OK | Words: 3475
[2025-06-25 18:31:46.173571] putusan_621_pid.b_2024_pn_mdn_20250625173548.pdf → case_090.txt | Status: OK | Words: 3373
[2025-06-25 18:31:46.640077] putusan_76_pid.b_2024_pn_mdn_20250625174858.pdf → case_091.txt | Status: OK | Words: 3038
[2025-06-25 18:31:47.309049] putusan_773_pid.b_2024_pn_mdn_20250625175054.pdf → case_092.txt | Status: OK | Words: 4033
[2025-06-25 18:31:48.242590] putusan_820_pid.b_2024_pn_mdn_20250625174912.pdf → case_093.txt | Status: OK | Words: 6335
[2025-06-25 18:31:48.850541] putusan_87_pid.b_2024_pn_mdn_20250625174512.pdf → case_094.txt | Status: OK | Words: 3732
[2025-06-25 18:31:49.695814] putusan_880_pid.b_2024_pn_mdn_20250625174521.pdf → case_095.txt | Status: OK | Words: 6405
[2025-06-25 18:31:50.223839] putusan_932_pid.b_2024_pn_mdn_20250625174739.pdf → case_096.txt | Status: OK | Words: 3155
[2025-06-25 18:31:50.731942] putusan_979_pid.b_2024_pn_mdn_20250625175005.pdf → case_097.txt | Status: OK | Words: 3196
[2025-06-25 18:31:51.524707] putusan_99_pid.b_2024_pn_mdn_20250625174420.pdf → case_098.txt | Status: OK | Words: 5053
